
Court STF: ff7f5ecd-2cb2-4bbb-bb70-265ea9683863
Total: 169851, Already: 40162
  [07:28:38] 118000/169851 — 118000 ok, 0 err — 10556s (11/s, ETA 79m)
  [07:29:40] 119000/169851 — 119000 ok, 0 err — 10618s (11/s, ETA 77m)
  [07:30:47] 120000/169851 — 120000 ok, 0 err — 10684s (11/s, ETA 76m)
  [07:31:49] 121000/169851 — 121000 ok, 0 err — 10746s (11/s, ETA 74m)
  [07:32:50] 122000/169851 — 122000 ok, 0 err — 10808s (11/s, ETA 73m)
  [07:33:55] 123000/169851 — 123000 ok, 0 err — 10872s (11/s, ETA 71m)
  [07:34:57] 124000/169851 — 124000 ok, 0 err — 10934s (11/s, ETA 69m)
  [07:36:05] 125000/169851 — 125000 ok, 0 err — 11003s (11/s, ETA 68m)
  [07:37:11] 126000/169851 — 126000 ok, 0 err — 11068s (11/s, ETA 66m)
  [07:38:16] 127000/169851 — 127000 ok, 0 err — 11134s (11/s, ETA 65m)
  [07:39:19] 128000/169851 — 128000 ok, 0 err — 11197s (11/s, ETA 63m)
  [07:40:21] 129000/169851 — 129000 ok, 0 err — 11259s (11/s, ETA 62m)
  [07:41:25] 130000/169851 — 130000 ok, 0 err — 11323s (11/s, ETA 60m)
  [07:42:31] 131000/169851 — 131000 ok, 0 err — 11388s (12/s, ETA 54m)
  [07:43:40] 132000/169851 — 132000 ok, 0 err — 11458s (12/s, ETA 53m)
  [07:44:49] 133000/169851 — 133000 ok, 0 err — 11526s (12/s, ETA 51m)
  [07:45:51] 134000/169851 — 134000 ok, 0 err — 11589s (12/s, ETA 50m)
  [07:46:54] 135000/169851 — 135000 ok, 0 err — 11652s (12/s, ETA 48m)
  [07:47:58] 136000/169851 — 136000 ok, 0 err — 11716s (12/s, ETA 47m)
  [07:49:03] 137000/169851 — 137000 ok, 0 err — 11780s (12/s, ETA 46m)
  [07:50:04] 138000/169851 — 138000 ok, 0 err — 11842s (12/s, ETA 44m)
  [07:51:10] 139000/169851 — 139000 ok, 0 err — 11908s (12/s, ETA 43m)
  [07:52:15] 140000/169851 — 140000 ok, 0 err — 11973s (12/s, ETA 41m)
  [07:53:22] 141000/169851 — 141000 ok, 0 err — 12040s (12/s, ETA 40m)
  [07:54:34] 142000/169851 — 142000 ok, 0 err — 12112s (12/s, ETA 39m)
  [07:55:39] 143000/169851 — 143000 ok, 0 err — 12176s (12/s, ETA 37m)
  [07:56:44] 144000/169851 — 144000 ok, 0 err — 12242s (12/s, ETA 36m)
  [07:57:47] 145000/169851 — 145000 ok, 0 err — 12305s (12/s, ETA 35m)
  [07:58:52] 146000/169851 — 146000 ok, 0 err — 12370s (12/s, ETA 33m)
  [07:59:56] 147000/169851 — 147000 ok, 0 err — 12434s (12/s, ETA 32m)
  [08:01:01] 148000/169851 — 148000 ok, 0 err — 12499s (12/s, ETA 30m)
  [08:02:06] 149000/169851 — 149000 ok, 0 err — 12563s (12/s, ETA 29m)
  [08:03:09] 150000/169851 — 150000 ok, 0 err — 12627s (12/s, ETA 28m)
  [08:04:19] 151000/169851 — 151000 ok, 0 err — 12697s (12/s, ETA 26m)
  [08:05:41] 152000/169851 — 152000 ok, 0 err — 12779s (12/s, ETA 25m)
  [08:06:50] 153000/169851 — 153000 ok, 0 err — 12848s (12/s, ETA 23m)
  [08:07:54] 154000/169851 — 154000 ok, 0 err — 12911s (12/s, ETA 22m)
  [08:09:03] 155000/169851 — 155000 ok, 0 err — 12980s (12/s, ETA 21m)
  [08:10:07] 156000/169851 — 156000 ok, 0 err — 13045s (12/s, ETA 19m)
  [08:11:13] 157000/169851 — 157000 ok, 0 err — 13111s (12/s, ETA 18m)
  [08:12:19] 158000/169851 — 158000 ok, 0 err — 13176s (12/s, ETA 16m)
